time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_tx_retires_cal,c_retransmits_cal,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_tx_retires_cal,s_retransmits_cal,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_tx_retires2_cal,s_retransmits2_cal,s_rssi2,s_lqi2,s_rssi_status2
76067,1.61781170885878E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000175,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76068,1.61781170887868E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76069,1.61781170889857E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000349,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76070,1.61781170891954E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000698,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76071,1.61781170893854E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001222,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76072,1.61781170895857E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000698,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76074,1.61781170899845E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000175,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76075,1.61781170901842E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.00192,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76076,1.61781170903841E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.002094,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76077,1.61781170905839E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000873,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76078,1.61781170907933E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000873,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76080,1.6178117091182E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000175,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76082,1.61781170915815E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76084,1.61781170919825E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000698,0,0,0,19.870001,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76085,1.61781170921815E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000524,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76086,1.61781170923892E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.00192,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76087,1.61781170925793E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.002443,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76088,1.61781170927797E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001745,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76089,1.61781170929798E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000524,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76091,1.61781170933797E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.002269,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76092,1.61781170935783E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.004712,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76093,1.61781170937884E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001745,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76094,1.61781170939784E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000698,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76095,1.61781170941775E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000175,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76097,1.61781170945766E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001047,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76099,1.61781170949763E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000524,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76101,1.61781170953742E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000524,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76103,1.61781170957741E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001047,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76106,1.61781170963723E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.003142,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76107,1.61781170965719E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.003142,0,0,0,57.275002,17.996592,0.223712,18.220304,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.272456,19.234112,19.506568,1597,4149,0,0,-55,55,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
